,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR,reps
0,0.7395852227748733,0.7312671646784078,0.7479032808713387,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,0.0
0,0.47442494710755945,0.40894285525597274,0.5399070389591462,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,0.0
0,0.39368783563301907,0.23617917829112456,0.5511964929749136,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,1.0
0,0.47300346263788984,0.5114265795045492,0.4345803457712305,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,1.0
0,0.410682946485124,0.10498907175954274,0.7163768212107052,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,2.0
0,0.5285110197442493,0.5595082891404293,0.49751375034806944,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,2.0
0,0.7457275804496182,0.722280395793869,0.7691747651053674,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,3.0
0,0.5710034882936791,0.48473811240894754,0.6572688641784107,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,3.0
0,0.434938561805147,0.8017435902075117,0.06813353340278229,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,4.0
0,0.43877978677956525,0.5367197417173868,0.3408398318417437,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,4.0
0,0.4340986236675497,0.7413970585103979,0.1268001888247015,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,5.0
0,0.5243533884910252,0.5143444252156655,0.534362351766385,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,5.0
0,0.4951871850312375,0.2096270621695465,0.7807473078929285,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,6.0
0,0.562200353081995,0.4857891413272127,0.6386115648367774,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,6.0
0,0.7131229465687139,0.8300367675413695,0.5962091255960582,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,7.0
0,0.5338768759450341,0.553104275741908,0.5146494761481601,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,7.0
0,0.6845631299761874,0.6816826023543516,0.6874436575980231,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,8.0
0,0.3785644437847541,0.34993761297148857,0.4071912745980197,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,8.0
0,0.12505691039244,0.16272055028225843,0.08739327050262158,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,9.0
0,0.517261798395626,0.47274723782929157,0.5617763589619605,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,9.0
0,0.2594812864660341,0.32200988965697225,0.19695268327509588,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,10.0
0,0.6210877350218614,0.6068470306770822,0.6353284393666406,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,10.0
0,0.1833057271131417,0.11107930197777191,0.2555321522485115,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,11.0
0,0.5015719435178797,0.5611628686204526,0.4419810184153068,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,11.0
0,0.18159181877335118,0.2255079458521479,0.1376756916945545,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,12.0
0,0.5180050572765151,0.662170587632895,0.3738395269201351,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,12.0
0,0.1307451138014491,0.14211469852585004,0.11937552907704818,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,13.0
0,0.49296286423516805,0.4255517578748107,0.5603739705955254,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,13.0
0,0.0931389163447241,0.07622141131386156,0.11005642137558665,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,14.0
0,0.44143510372956296,0.41572247378502203,0.46714773367410395,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,14.0
0,0.10041573355481896,0.07080188288172129,0.13002958422791663,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,15.0
0,0.556637811458484,0.6450215729616569,0.46825404995531106,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,15.0
0,0.45137263428850416,0.6905209428144092,0.21222432576259903,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,16.0
0,0.5613283755213687,0.6363347514331487,0.4863219996095888,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,16.0
0,0.2670676101940222,0.1592144716395065,0.37492074874853787,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,17.0
0,0.47125793053301734,0.4661445140293141,0.4763713470367205,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,17.0
0,0.5606579846630579,0.8221885015119609,0.2991274678141549,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,18.0
0,0.41855524012131784,0.2832843200129603,0.5538261602296755,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,18.0
0,0.4174361499723198,0.07440261212792694,0.7604696878167126,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,19.0
0,0.31342489286682185,0.2382710528506696,0.38857873288297406,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,19.0
0,0.7347885197324875,0.7360279989631241,0.733549040501851,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,20.0
0,0.4514677444899142,0.42267394957001114,0.4802615394098173,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,20.0
0,0.3836242694244256,0.19180643913730694,0.5754420997115443,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,21.0
0,0.6172631518974219,0.6075482527308715,0.6269780510639721,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,21.0
0,0.23891792016284302,0.3667565383479097,0.11107930197777632,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,22.0
0,0.4854955854338352,0.41495899283147275,0.5560321780361976,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,22.0
0,0.21319832537064837,0.24449068499747476,0.18190596574382195,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,23.0
0,0.4679335773705994,0.43805121282746,0.4978159419137387,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,23.0
0,0.3817428900414421,0.7148989500045807,0.048586830078303445,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,24.0
0,0.5837138454301946,0.5635863914658902,0.6038412993944989,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,24.0
0,0.33386069220486037,0.4670834057354877,0.20063797867423308,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,25.0
0,0.6000774113548226,0.6376367080238491,0.5625181146857963,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,25.0
0,0.1954877317603818,0.15343486609947413,0.2375405974212895,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,26.0
0,0.5790610044856794,0.5216851232343598,0.6364368857369991,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,26.0
0,0.49996755692589845,0.6839790101203574,0.31595610373143945,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,27.0
0,0.540412004883289,0.6402476762951078,0.44057633347147024,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,27.0
0,0.454886325831256,0.13111237874224022,0.7786602729202717,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,28.0
0,0.6049774655517924,0.6221158911894182,0.5878390399141666,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,28.0
0,0.21614910141117627,0.30226861859443294,0.13002958422791958,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,29.0
0,0.5740141155474605,0.4776576194756457,0.6703706116192754,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,29.0
0,0.18686357678639215,0.10398500157525288,0.26974215199753143,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,30.0
0,0.5351209978385102,0.5597862642510695,0.5104557314259509,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,30.0
0,0.7814117719914373,0.8336479664591613,0.7291755775237132,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,31.0
0,0.40420870645360385,0.5033417067082449,0.3050757061989629,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,31.0
0,0.46679729310089346,0.19809861175351756,0.7354959744482693,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,32.0
0,0.5538932481873454,0.4927700517496723,0.6150164446250186,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,32.0
0,0.1813136511696695,0.1770327329932781,0.1855945693460609,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,33.0
