,GBS,IBS,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd
0,1.0,100,0.315032828745705,0.3195738003658104,0.1408613437084934,0.1513652133117178
0,1.0,10,0.5923316680887334,0.5975633346829007,0.21047325361684974,0.04334517592462825
0,1.0,1,0.16984118534933385,0.17228216129499455,0.10840968531200268,0.2813862248240937
0,1.0,30,0.2886580333347651,0.29305876613378407,0.1849416398420845,0.16476305239522143
0,1.0,60,0.1878209934473748,0.19022086270829544,0.16493264303165428,0.1468155735640763
0,10.0,100,0.509945365889641,0.5097290498844574,0.2783459739688213,0.10179908130369356
0,10.0,10,0.47967136929644244,0.5401772139056943,0.27227316894758186,0.05440785341536726
0,10.0,1,0.16984118534933385,0.28000800659478176,0.17752651585822252,0.23759893005968633
0,10.0,30,0.4860373662653214,0.44601347197349545,0.2851112699373629,0.08007134577834414
0,10.0,60,0.7847124552886923,0.6825867304996902,0.2955136191291355,0.06441548764672762
0,30.0,100,0.5512041263349878,0.5224362182619786,0.31695306995923145,0.05743317978353326
0,30.0,10,0.5303497985907443,0.5563452977625197,0.2858029968437242,0.07424841826806394
0,30.0,1,0.176957184379153,0.33855883612993204,0.2207653047882491,0.17502313919811582
0,30.0,30,0.48924553842769436,0.5272377891074117,0.31211771540375527,0.04693054261743511
0,30.0,60,0.4886067764005748,0.5932743082068186,0.31697023276345315,0.07638458599073866
0,60.0,100,0.7104134024058125,0.6221834498415079,0.32550049396068725,0.049543324807335386
0,60.0,10,0.7435316464169412,0.5545355974317335,0.29560548830316896,0.08509408169437929
0,60.0,1,0.23859801084696822,0.3100485534049049,0.24674242104760163,0.16329258709456737
0,60.0,30,0.5683052395989425,0.584431658629011,0.31474337516782497,0.050640137481056086
0,60.0,60,0.7481888984835676,0.6296210352096431,0.32676029130696865,0.056516252206802516
0,100.0,100,0.564083766556348,0.5257396594323864,0.33026805174392837,0.05935120789449097
0,100.0,10,0.6336198578608755,0.6017295480198913,0.3025925220648103,0.06487370782937694
0,100.0,1,0.7350800258852589,0.31098748732447123,0.2598398304709309,0.14202341600482743
0,100.0,30,0.7268674771643117,0.6148985039549169,0.32134950187855144,0.043116705051549555
0,100.0,60,0.6096464802671685,0.6301244278511469,0.33185604888104897,0.05706246041951517
