,GBS_IBS,Replication_time,clusternum,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd,ref_rep_ismgsmcorr
0,0,40Min,2,0.82853528,0.83823152,0.262491852,0.091235643,-0.048115746
0,0,40Min,4,0.515174057,0.53984063,0.198873009,0.070232354,0.338865521
0,0,40Min,6,0.599567002,0.625593629,0.156280586,0.057540906,0.581533472
0,0,40Min,8,0.321506536,0.339696323,0.106342656,0.030089025,0.555013017
0,0,40Min,10,0.263030785,0.266663245,0.100685122,0.030332284,0.335762689
0,0,40Min,12,0.273372464,0.275369923,0.097510707,0.026301844,0.380464065
0,10,40Min,2,0.903411863,0.913578012,0.335598863,0.110159091,0.472464234
0,10,40Min,4,0.741683361,0.727531277,0.280318815,0.059274529,0.494270551
0,10,40Min,6,0.299338829,0.545246224,0.260985531,0.063949048,0.709911282
0,10,40Min,8,0.456833958,0.614360322,0.20703672,0.055438824,0.60689253
0,10,40Min,10,0.44720845,0.519909532,0.189190298,0.043785834,0.692058207
0,10,40Min,12,0.234729872,0.38556612,0.163617604,0.037236081,0.685366433
0,30,40Min,2,0.918106695,0.934335866,0.358581225,0.103195056,0.516982559
0,30,40Min,4,0.416215495,0.567213806,0.314656964,0.083002674,0.725676427
0,30,40Min,6,0.396395439,0.509457961,0.304306232,0.082911641,0.666228399
0,30,40Min,8,0.471789698,0.584776461,0.278145276,0.068299799,0.677350403
0,30,40Min,10,0.355950419,0.578915183,0.252520483,0.058705396,0.694541489
0,30,40Min,12,0.277252058,0.478518168,0.228056593,0.04143033,0.72858951
0,60,40Min,2,0.798653945,0.896425709,0.363357024,0.097698891,0.447968535
0,60,40Min,4,0.557290045,0.804242795,0.374124068,0.092766827,0.725554814
0,60,40Min,6,0.403149859,0.796121502,0.329429536,0.084496728,0.720304827
0,60,40Min,8,0.282494616,0.664764146,0.299875447,0.071402749,0.66436681
0,60,40Min,10,0.265184642,0.66052497,0.286835591,0.058967062,0.584301718
0,60,40Min,12,0.292078319,0.647644104,0.275529726,0.048184079,0.616000401
0,100,40Min,2,0.880898714,0.955593878,0.380146059,0.105363989,0.466276833
0,100,40Min,4,0.571102934,0.918973486,0.384415946,0.084506506,0.718708446
0,100,40Min,6,0.5782654,0.870446189,0.342784512,0.085091273,0.743062356
0,100,40Min,8,0.321217054,0.840207463,0.315376904,0.078494629,0.760434898
0,100,40Min,10,0.276251122,0.739980639,0.304441559,0.065579784,0.738059189
0,100,40Min,12,0.283020651,0.742309763,0.301650638,0.054685353,0.730081071
