,GBS,IBS,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd
0,1.0,100,0.45403853311073833,0.45462480588466553,0.9523142056183387,0.019447896063069566
0,1.0,10,0.45540734081894063,0.45597726570661307,0.9565086683002061,0.02667599120616299
0,1.0,1,0.45403853311073833,0.45462480588466814,0.9127330647428014,0.08598791869942206
0,1.0,200,0.45403853311073833,0.4546248058846559,0.9554090659651097,0.017596738687495284
0,1.0,40,0.45403853311073833,0.45462480588466975,0.9487550307236973,0.01763904807919806
0,10.0,100,0.45403853311073833,0.45548416698143296,0.9527695010816386,0.01940845344560354
0,10.0,10,0.4547227765930056,0.45632312958569315,0.9574562745920575,0.026902272214306775
0,10.0,1,0.45403853311073833,0.45484453658933716,0.913986878838065,0.08642180910282585
0,10.0,200,0.4547227765930056,0.4551462027427136,0.9560722079942525,0.017038908863486482
0,10.0,40,0.45335461029909374,0.4551605429311846,0.949689477382379,0.018444800343599056
0,50.0,100,0.45403853311073833,0.4556399105477685,0.9530948331753283,0.019379626077634604
0,50.0,10,0.4547227765930056,0.4556749991346078,0.957508851998008,0.02685072026100044
0,50.0,1,0.45540734081894063,0.45906599440252155,0.9148162017713874,0.08403426862540282
0,50.0,200,0.4547227765930056,0.4553690849749112,0.9563400058707426,0.016552746538813286
0,50.0,40,0.4547227765930056,0.45554629425662524,0.9503816541404216,0.01849213559853336
0,100.0,100,0.45403853311073833,0.4556896824457749,0.9531173940957638,0.01935863267305964
0,100.0,10,0.45403853311073833,0.45564920953346455,0.9576346521339234,0.026844146765272678
0,100.0,1,0.45540734081894063,0.4573386040959351,0.9145787430661907,0.08510054670743862
0,100.0,200,0.4547227765930056,0.4554779142312326,0.9563142633540768,0.01655343655073626
0,100.0,40,0.45403853311073833,0.4556015076886788,0.9502688738517001,0.018628159828959413
