,SNR_level,vols,GBS,IBS,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd
0,0.05corr_2noise,100,1,1,0.8907740769773863,0.8909654510112577,0.2140494442644241,0.06967671220835499
0,0.05corr_2noise,100,1,10,0.9224299309308679,0.9226914223066585,0.3558152244448974,0.04690220122564752
0,0.05corr_2noise,100,1,30,0.91056680728599,0.9106466778254653,0.37530761468625895,0.05058317371525584
0,0.05corr_2noise,100,1,100,0.9125371662283664,0.9126366896920314,0.38023001320683736,0.05003619149812273
0,0.05corr_2noise,100,1,60,0.9184666127876236,0.9186428838429367,0.37847642684418664,0.05047678225234186
0,0.05corr_2noise,100,10,1,0.8907740769773863,0.9005705253112049,0.21587698822783014,0.06999625352389083
0,0.05corr_2noise,100,10,10,0.9224299309308679,0.9265344830285035,0.3568782576925638,0.046999624607489965
0,0.05corr_2noise,100,10,30,0.91056680728599,0.9170378039525778,0.3773195254209359,0.05078637908463483
0,0.05corr_2noise,100,10,100,0.9125371662283664,0.9186049673581369,0.38219232277792325,0.05016325802860947
0,0.05corr_2noise,100,10,60,0.9184666127876236,0.9239196100501789,0.38013371214061464,0.05068778772590561
0,0.05corr_2noise,100,30,1,0.9154479738213382,0.9233287192162509,0.2213771341068951,0.07097021355910942
0,0.05corr_2noise,100,30,10,0.9274016817660833,0.9373545644121475,0.3613035658668556,0.0475112535885885
0,0.05corr_2noise,100,30,30,0.923441268795071,0.9345124756556638,0.3844778826201853,0.051232887866847786
0,0.05corr_2noise,100,30,100,0.9194866973016003,0.9308228984619303,0.3875012733807519,0.05113409052814509
0,0.05corr_2noise,100,30,60,0.9204649301018988,0.9308366815899144,0.38451547052616136,0.051562406584495735
0,0.05corr_2noise,100,60,1,0.9314538552027232,0.9352150943745664,0.22368932288721202,0.06305257965799728
0,0.05corr_2noise,100,60,10,0.9334540930976235,0.9384838955597883,0.3557303709228326,0.05378775405871605
0,0.05corr_2noise,100,60,30,0.9155128691085639,0.9334179893332009,0.3770515344133913,0.05115210222717772
0,0.05corr_2noise,100,60,60,0.9334610391266797,0.9420262922303733,0.3861214335180038,0.05402346511819784
0,0.05corr_2noise,100,60,100,0.9374817073164937,0.942015828222404,0.39183221812334484,0.05243000273064092
0,0.05corr_2noise,100,100,1,0.9244569172844153,0.9329633040628177,0.22443869189144075,0.07107323284471301
0,0.05corr_2noise,100,100,10,0.9354574590570607,0.9430094933079806,0.3634406999484785,0.047830750470373405
0,0.05corr_2noise,100,100,30,0.9344570709678132,0.9394239384763867,0.3863442407573798,0.051652803967470975
0,0.05corr_2noise,100,100,100,0.9304529813983817,0.9373368047643431,0.38951628949903366,0.050558535098015694
0,0.05corr_2noise,100,100,60,0.9304529813983817,0.9402190675000249,0.3869548096222775,0.05254476188880275
0,0.3corr_3noise,100,1,1,0.9668956850548308,0.9673469434103796,0.8006211956471646,0.09929131400788166
0,0.3corr_3noise,100,1,10,0.9679184398894053,0.968356767705147,0.8833761116783972,0.03261493374030163
0,0.3corr_3noise,100,1,30,0.9679184398894053,0.968356767705147,0.8901056617593361,0.03214087705990029
0,0.3corr_3noise,100,1,60,0.9679184398894053,0.968356767705147,0.8894596421093499,0.02911587631449204
0,0.3corr_3noise,100,1,100,0.9679184398894053,0.968356767705147,0.8911430541866774,0.029496535373078787
0,0.3corr_3noise,100,10,1,0.9679184398894053,0.9682771711281639,0.7937731460208517,0.10264047845925935
0,0.3corr_3noise,100,10,10,0.9679184398894053,0.9683169666791742,0.8834795901991341,0.032615189622279016
0,0.3corr_3noise,100,10,30,0.9679184398894053,0.9681960718268076,0.8901734928032669,0.032056915333119725
0,0.3corr_3noise,100,10,60,0.9679184398894053,0.968356767705147,0.8894596421093499,0.02911587631449204
0,0.3corr_3noise,100,10,100,0.9679184398894053,0.968356767705147,0.8911430541866774,0.029496535373078787
0,0.3corr_3noise,100,30,1,0.9679184398894053,0.9684294437730105,0.8012439553768406,0.09930097377026467
0,0.3corr_3noise,100,30,10,0.9679184398894053,0.9683403505692505,0.8835321933457206,0.032624455358529585
0,0.3corr_3noise,100,30,30,0.9679184398894053,0.968271855396275,0.8902786494874538,0.03211253577083029
0,0.3corr_3noise,100,30,60,0.9679184398894053,0.968356767705147,0.8894596421093499,0.02911587631449204
0,0.3corr_3noise,100,30,100,0.9679184398894053,0.9682981221526746,0.8913273379183189,0.029498418454734724
0,0.3corr_3noise,100,60,1,0.9679184398894053,0.9683414116665806,0.7896655630828504,0.105317268384984
0,0.3corr_3noise,100,60,10,0.9679184398894053,0.968329030779779,0.8835157473287818,0.032607839489995856
0,0.3corr_3noise,100,60,30,0.9679184398894053,0.9682795673018595,0.8903517318517973,0.032134414968119376
0,0.3corr_3noise,100,60,60,0.9679184398894053,0.9683344444486489,0.8895762819593345,0.029115825077931288
0,0.3corr_3noise,100,60,100,0.9679184398894053,0.9682853964786076,0.8913421545498582,0.029471494770912734
0,0.3corr_3noise,100,100,1,0.9679184398894053,0.9683426641694761,0.8012499089997476,0.09931860775015881
0,0.3corr_3noise,100,100,30,0.9679184398894053,0.9682822167603867,0.8903371436921604,0.03213729669069891
0,0.3corr_3noise,100,100,10,0.9679184398894053,0.9683247398112452,0.8835293277643093,0.03260665101992575
0,0.3corr_3noise,100,100,60,0.9679184398894053,0.9683083782476319,0.8896240114052976,0.029121398494780903
0,0.3corr_3noise,100,100,100,0.9679184398894053,0.9683294027346303,0.8912719235047236,0.029481835879449147
0,0.3corr_2noise,100,1,1,0.9679184398894053,0.968356767705147,0.9015264591558864,0.05863680975070094
0,0.3corr_2noise,100,1,10,0.9679184398894053,0.968356767705147,0.9282391850714186,0.0319571045167667
0,0.3corr_2noise,100,1,30,0.9679184398894053,0.968356767705147,0.9341252475666671,0.020585737773263953
0,0.3corr_2noise,100,1,60,0.9679184398894053,0.968356767705147,0.9283290544993456,0.02644525403588303
0,0.3corr_2noise,100,1,100,0.9679184398894053,0.968356767705147,0.9322919742687231,0.023032546216728376
0,0.3corr_2noise,100,10,1,0.9679184398894053,0.968356767705147,0.9015264591558864,0.05863680975070094
0,0.3corr_2noise,100,10,10,0.9679184398894053,0.968356767705147,0.9282391850714186,0.0319571045167667
0,0.3corr_2noise,100,10,30,0.9679184398894053,0.968356767705147,0.9341252475666671,0.020585737773263953
0,0.3corr_2noise,100,10,60,0.9679184398894053,0.968356767705147,0.9283290544993456,0.02644525403588303
0,0.3corr_2noise,100,10,100,0.9679184398894053,0.968356767705147,0.9322919742687231,0.023032546216728376
0,0.3corr_2noise,100,30,1,0.9679184398894053,0.968356767705147,0.9015264591558864,0.05863680975070094
0,0.3corr_2noise,100,30,100,0.9679184398894053,0.968356767705147,0.9322919742687231,0.023032546216728376
0,0.3corr_2noise,100,30,10,0.9679184398894053,0.968356767705147,0.9275645125558564,0.03167505631287782
0,0.3corr_2noise,100,30,30,0.9679184398894053,0.968356767705147,0.9341252475666671,0.020585737773263953
0,0.3corr_2noise,100,30,60,0.9679184398894053,0.968356767705147,0.9283290544993456,0.02644525403588303
0,0.3corr_2noise,100,60,1,0.9679184398894053,0.968356767705147,0.9015264591558864,0.05863680975070094
0,0.3corr_2noise,100,60,10,0.9679184398894053,0.968356767705147,0.9282391850714186,0.0319571045167667
0,0.3corr_2noise,100,60,30,0.9679184398894053,0.968356767705147,0.9341252475666671,0.020585737773263953
0,0.3corr_2noise,100,60,60,0.9679184398894053,0.968356767705147,0.9283290544993456,0.02644525403588303
0,0.3corr_2noise,100,60,100,0.9679184398894053,0.968356767705147,0.9322919742687231,0.023032546216728376
0,0.3corr_2noise,100,100,1,0.9679184398894053,0.968356767705147,0.9015264591558864,0.05863680975070094
0,0.3corr_2noise,100,100,10,0.9679184398894053,0.968356767705147,0.9282391850714186,0.0319571045167667
0,0.3corr_2noise,100,100,30,0.9679184398894053,0.968356767705147,0.9341252475666671,0.020585737773263953
0,0.3corr_2noise,100,100,60,0.9679184398894053,0.968356767705147,0.9283290544993456,0.02644525403588303
0,0.3corr_2noise,100,100,100,0.9679184398894053,0.968356767705147,0.9322919742687231,0.023032546216728376
0,0.05corr_2noise,200,1,1,0.936474233994518,0.9366827239403729,0.3535649301141104,0.08707450476845374
0,0.05corr_2noise,200,1,10,0.9506041604409472,0.9508490073331776,0.5237972736041019,0.03844293807547017
0,0.05corr_2noise,200,1,30,0.9344736245389942,0.9346348578769446,0.5398895880710992,0.03228554671201563
0,0.05corr_2noise,200,1,100,0.9294800371784036,0.9295727164890126,0.5486018195099727,0.038804366498837575
0,0.05corr_2noise,200,1,60,0.9465513874868662,0.9468348983288706,0.5462992919060252,0.04073486730767849
0,0.05corr_2noise,200,10,1,0.936474233994518,0.9397869035303056,0.3545184245909839,0.08731483321133746
0,0.05corr_2noise,200,10,10,0.9506041604409472,0.9524268943710931,0.5248948622807457,0.038536758717031425
0,0.05corr_2noise,200,10,30,0.9344736245389942,0.9375859918040846,0.5412866836501394,0.03248090745765216
0,0.05corr_2noise,200,10,100,0.9294800371784036,0.9332742644846816,0.5502658679842838,0.03893441073061165
0,0.05corr_2noise,200,10,60,0.9465513874868662,0.9491923785498694,0.5475269920392904,0.040627395999871425
0,0.05corr_2noise,200,30,1,0.9415107759621757,0.9467116062221104,0.3581253389936084,0.08750674853408559
0,0.05corr_2noise,200,30,10,0.9425247793351818,0.9495562896271901,0.5296099099670162,0.039532686245185744
0,0.05corr_2noise,200,30,30,0.9384950031601408,0.9440923716980467,0.5460864697276849,0.034499569976443926
0,0.05corr_2noise,200,30,100,0.9405088415534245,0.9482057622705389,0.5570107931687257,0.03962037185145749
0,0.05corr_2noise,200,30,60,0.9465547830067206,0.9497998243406132,0.552474404693842,0.03982988463767482
0,0.05corr_2noise,200,60,1,0.9395029380058697,0.9445619227198815,0.3404468136300026,0.08111208026216452
0,0.05corr_2noise,200,60,10,0.9536441975394631,0.9556722328666906,0.5287591128517988,0.04199628225754806
0,0.05corr_2noise,200,60,30,0.9425182561993847,0.9492415041426304,0.5458240257292482,0.03817285595703898
0,0.05corr_2noise,200,60,60,0.9455482450637256,0.951173735756649,0.553829060311708,0.03936349853590283
0,0.05corr_2noise,200,60,100,0.9455464616477433,0.9498529150332047,0.5555272662537998,0.037626954057497754
0,0.05corr_2noise,200,100,1,0.9415130998291158,0.9494120765450954,0.36040090195898217,0.08863563203274745
0,0.05corr_2noise,200,100,10,0.9455464616477433,0.9518366127130139,0.5317790250410074,0.038865578033852585
0,0.05corr_2noise,200,100,30,0.9425204502660848,0.9515619219463849,0.5495906926774027,0.03398863670157033
0,0.05corr_2noise,200,100,100,0.9415130998291158,0.9510726687122173,0.5586033195167509,0.03993765502753502
0,0.05corr_2noise,200,100,60,0.9485798097530616,0.9523061616097305,0.5540348760498729,0.039492474517712546
0,0.3corr_3noise,200,1,1,0.9679184398894053,0.968356767705147,0.8823393683190454,0.0636593310702218
0,0.3corr_3noise,200,1,10,0.9679184398894053,0.968356767705147,0.9311815472450512,0.022184708227213485
0,0.3corr_3noise,200,1,30,0.9679184398894053,0.968356767705147,0.9322845739342778,0.017347866864946826
0,0.3corr_3noise,200,1,60,0.9679184398894053,0.968356767705147,0.9336708005610083,0.017626809513635006
0,0.3corr_3noise,200,1,100,0.9679184398894053,0.968356767705147,0.934676590025301,0.015009358747950704
0,0.3corr_3noise,200,10,60,0.9679184398894053,0.968356767705147,0.9336708005610083,0.017626809513635006
0,0.3corr_3noise,200,10,100,0.9679184398894053,0.968356767705147,0.934676590025301,0.015009358747950704
0,0.3corr_3noise,200,10,1,0.9679184398894053,0.968356767705147,0.8823393683190454,0.0636593310702218
0,0.3corr_3noise,200,10,10,0.9679184398894053,0.968356767705147,0.9311815472450512,0.022184708227213485
0,0.3corr_3noise,200,10,30,0.9679184398894053,0.968356767705147,0.9322845739342778,0.017347866864946826
0,0.3corr_3noise,200,30,1,0.9679184398894053,0.9683558037467652,0.8818254794890336,0.06369826926754889
0,0.3corr_3noise,200,30,10,0.9679184398894053,0.968356767705147,0.9311815472450512,0.022184708227213485
0,0.3corr_3noise,200,30,30,0.9679184398894053,0.968356767705147,0.9322845739342778,0.017347866864946826
0,0.3corr_3noise,200,30,60,0.9679184398894053,0.968356767705147,0.9336708005610083,0.017626809513635006
0,0.3corr_3noise,200,30,100,0.9679184398894053,0.968356767705147,0.934676590025301,0.015009358747950704
0,0.3corr_3noise,200,60,1,0.9679184398894053,0.968356767705147,0.8823393683190454,0.0636593310702218
