,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR
0,1.0,1.0,1.0,1.0,500.0,400.0,2.0,0.5,0.0,1.0,0.5
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,1.0,0.5
0,0.9892296132611949,0.9892282527547768,0.9892309737676129,1.0,500.0,400.0,2.0,0.5,0.0,1.5,0.3333333333333333
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,1.5,0.3333333333333333
0,0.9520395347384185,0.9388798624341512,0.9651992070426858,1.0,500.0,400.0,2.0,0.5,0.0,2.0,0.25
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,2.0,0.25
0,0.4843505306621701,0.8647160597490836,0.10398500157525657,1.0,500.0,400.0,2.0,0.5,0.0,2.5,0.2
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,2.5,0.2
