,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR,reps
0,0.7395852227748733,0.7312671646784078,0.7479032808713387,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,0.0
0,0.47442494710755945,0.40894285525597274,0.5399070389591462,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,0.0
0,0.39368783563301907,0.23617917829112456,0.5511964929749136,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,1.0
0,0.47300346263788984,0.5114265795045492,0.4345803457712305,1.0,500.0,200.0,2.0,0.5,10.0,2.5,0.2,1.0
0,0.410682946485124,0.10498907175954274,0.7163768212107052,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2,2.0
